,TotalOdo,ACPressure,EngineWaterTemp,ExternalTemperatureAD_Voltage,IBS_V_Batt,IBS_I_Batt,IBS_T_Batt,IBS_I_Range,IBS_SOC,IBS_SOF_Q,IBS_SOC_Accuracy,IBS_SOF_Q_Accuracy,IBS_SOH_Q,IBS_SOF_V,IBS_SOH_Q_Accuracy,IBS_SOF_V_Accuracy,IBS_Q_received,IBS_Q_released,IBS_Tm_Lst_Reset_Days,IBS_R_Batt,IBS_R_Batt_25,IBS_SOF_t_Accuracy,IBS_PreWakeupVoltage,IBS_SOF_t,IBS_IBATT_QUIESCENT,IBS_SOF_V1,score
103,2621,122,79,78,11114,11114,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,262,255,125,9.164376998742034
104,2621,122,79,78,11091,11091,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,262,255,125,9.16282843789369
105,2621,122,79,78,11083,11083,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,262,255,125,9.162289808033398
106,2621,122,79,78,11079,11079,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,262,255,125,9.16202049310325
107,2621,122,79,78,11085,11085,74,1,99,106,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,262,255,125,9.162424465498471
108,2621,122,80,78,11072,11072,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,262,255,125,9.164664565735919
109,2621,121,80,78,11081,11081,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,262,255,125,9.1629253085689
110,2621,121,80,78,11086,11086,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,262,255,125,9.163261952231581
111,2621,122,80,78,11083,11083,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,262,255,125,9.165405181793822
112,2621,122,80,78,11081,11081,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.1700042521394
113,2621,123,80,78,11076,11076,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.172012824236566
114,2621,123,80,78,11068,11068,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.171474194376275
115,2621,123,80,78,11066,11066,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.1713395369112
116,2621,123,80,78,11073,11073,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.171810838038958
117,2621,123,80,78,11072,11072,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.17174350930642
118,2621,123,80,78,11064,11064,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.171204879446126
119,2621,123,80,78,11061,11061,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.171002893248518
120,2621,123,80,78,11080,11080,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.172282139166713
121,2621,124,80,78,11075,11075,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,266,255,125,9.17429071126388
122,2621,123,80,78,11065,11065,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.176005935989316
123,2621,123,80,78,11052,11052,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.175130662466339
124,2621,123,81,78,11061,11061,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.178695200940826
125,2621,123,81,78,11070,11070,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.179301159533654
126,2621,122,81,78,11077,11077,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.177427244901562
127,2621,122,81,78,11084,11084,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.177898546029317
128,2621,121,81,78,11094,11094,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.176226617594835
129,2621,121,81,78,11121,11121,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.178044493373323
130,2621,120,81,78,11117,11117,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.175429962683326
131,2621,119,81,78,11100,11100,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,270,255,125,9.171940158470354
132,2621,118,81,78,11096,11096,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.172875923638346
133,2621,117,81,78,11085,11085,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.169790091820593
134,2621,116,81,78,11077,11077,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.16690624620045
135,2621,115,81,79,11077,11077,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.1692514619603
136,2621,115,81,79,11080,11080,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.16945344815791
137,2621,115,81,78,11065,11065,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.163753085650159
138,2621,115,82,79,11095,11095,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.173421959027616
139,2621,115,82,79,11090,11090,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.173085315364933
140,2621,116,82,79,11089,11089,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.175363202392248
141,2621,116,82,79,11085,11085,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,273,255,125,9.1750938874621
142,2621,116,82,79,11076,11076,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.179221656679921
143,2621,116,82,79,11089,11089,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.180096930202897
144,2621,117,82,79,11089,11089,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.182442145962746
145,2621,118,82,79,11102,11102,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.185662635245572
146,2621,119,82,79,11101,11101,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.187940522272886
147,2621,119,82,79,11095,11095,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.187536549877667
148,2621,120,82,79,11079,11079,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.18880450591693
149,2621,120,82,79,11083,11083,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.189073820847076
150,2621,121,82,79,11073,11073,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.190745749281561
151,2621,121,82,79,11075,11075,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,277,255,125,9.190880406746635
152,2621,121,82,79,11070,11070,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.194094058941939
153,2621,122,83,79,11065,11065,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.199061210920762
154,2621,122,83,79,11077,11077,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.199869155711202
155,2621,122,83,79,11062,11062,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.198859224723154
156,2621,122,83,79,11066,11066,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.1991285396533
157,2621,123,83,79,11073,11073,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.201945056540904
158,2621,123,83,79,11066,11066,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.201473755413149
159,2621,123,83,79,11071,11071,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.201810399075832
160,2621,124,83,79,11072,11072,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.204222943568219
161,2621,124,83,79,11074,11074,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,280,255,125,9.204357601033292
162,2621,124,83,79,11053,11053,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.206493993508012
163,2621,124,83,78,11072,11072,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.203082807906508
164,2621,124,83,78,11063,11063,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.202476849313678
165,2621,124,83,78,11061,11061,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.202342191848604
166,2621,124,83,78,11062,11062,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.20240952058114
167,2621,124,83,78,11075,11075,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.203284794104116
168,2621,124,83,78,11066,11066,74,1,99,106,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.202678835511286
169,2621,124,83,78,11053,11053,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.205364815549565
170,2621,125,83,78,11064,11064,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.208450647367316
171,2621,125,83,78,11059,11059,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,283,255,125,9.208114003704633
172,2621,125,83,78,11052,11052,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.211192998434866
173,2621,124,83,78,11031,11031,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.207433879291747
174,2621,124,84,78,11059,11059,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.212277663684429
175,2621,124,84,78,11065,11065,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.212681636079648
176,2621,124,84,78,11056,11056,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.212075677486819
177,2621,124,84,78,11078,11078,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.213556909602623
178,2621,124,84,78,11072,11072,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.213152937207404
179,2621,124,84,78,11086,11086,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.214095539462917
180,2621,124,84,78,11100,11100,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.21503814171843
181,2621,124,84,78,11099,11099,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,286,255,125,9.214970812985895
182,2621,124,84,78,11099,11099,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,289,255,125,9.21852110884388
183,2621,123,84,78,11065,11065,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,289,255,125,9.213886716177788
184,2621,122,84,78,11067,11067,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,289,255,125,9.21167615788301
185,2621,122,84,78,11080,11080,74,1,99,107,2,2,138,156,0,2,2442,1774,848,96,98,2,1023,289,255,125,9.212551431405986
